,description,end_date,exhibitors,lat,lng,location,name,start_date,type,visitors
0,"Trunk Show Bloomfield will showcase the newest wedding dresses from Essense of Australia. A bride can schedule an appointment to see and try on these wedding dresses which are not ordinarily carried in her local salon. At select shows, a Designer or Executive from Essense of Australia will be in attendance so a bride can talk with them about the inspiration, trends, and details behind the wedding dresses in the collection.",2019-06-30,500,40.607904,-74.707776,"3379 US-22, Branchburg, NJ 08876, USA, Branchburg, USA",Trunk Show Bloomfield,2019-06-28,Trade Show,20000
1,"Omnisecure will include digital payment, blockchain, digital Europe, connected living, the digital economy and digital citizens. On the eve of the conference delegates from the fields of industry, politics, research and public administration meet up for their first networking event. This is an evening when experts engage in an intensive exchange of ideas. A selection of start-ups will give short pitches with innovative ideas.",2018-01-24,500,52.5170365,13.3888599,"Berlin, Germany",Omnisecure,2018-01-22,Trade Show,5000
2,"The trade show CRE National - Christian Resources Exhibition takes place in Esher, United Kingdom. The frequency of the trade show is annual. CRE National is held at the venue Sandown Exhibition Centre. CRE National is open to the following types of visitors: The public. The year of the tradeshow's foundation is 1985. C.R.E. - Christian Resources Exhibitions Ltd. is the trade show organizer in charge of CRE National. On m+a ExpoDataBase CRE National is assigned to the business sector Religious.",2019-10-17,-1,51.3693929,-0.3654406,"Esher, United Kingdom",CRE National,2019-10-15,Tradeshow,0
3,"The Milton Keynes Jobs Fair is on Friday 8th November 2019, at the DoubleTree by Hilton (Stadium MK).The event is between 10am and 1pm.Free to attend with no registration required.The Jobs Fair is a great way to speak with potential employers face-to-face. You can register with employers for jobs, collect info on employers, ask them questions, apply for jobs, or even have a mini interview on the day.It is a good idea to bring up to date copies of your CV with you as between 20 -25 companies will be recruiting on the day. If you know of anyone looking for a job, please let them know of this event.",2019-08-16,20,52.009345,-0.734906,"Stadium Way W Bletchley Milton Keynes MK1 1ST, Milton Keynes, UK",Milton Keynes Job Fair,2019-08-16,Trade Show,400
4,"The trade show Las Vegas BikeFest - Motorcycle Exhibition takes place in Las Vegas, USA. The frequency of the trade show is annual. Las Vegas BikeFest is held at the venue Fremont Street. Las Vegas BikeFest is open to the following types of visitors: The public. The year of the tradeshow's foundation is 2001. Las Vegas BikeFest, LLC, ConvExx are the trade show organizers in charge of Las Vegas BikeFest. On m+a ExpoDataBase Las Vegas BikeFest is assigned to the business sectors Bicycles, Motorcycles.",2018-10-07,-1,36.1662859,-115.149225,"Las Vegas, USA",Las Vegas BikeFest,2018-10-04,Tradeshow,0
5,"Pulsus provide an invaluable channel for scientists and researchers to exchange ideas and research by creating a forum for discussing the possibilities of future collaborations between universities, institutions, research bodies and organizations from different countries through international conferences and meetings.",2019-05-21,-1,51.483596,-0.481205,"Heathrow Airport, Colnbrook By-Pass, Harmondsworth, West Drayton UB7 0HJ, UK, London, UK",International Conference on Chronic Diseases,2019-05-20,Conference,20000
6,"The trade show CONTEXT art miami - Art Fair is hosted at Miami, USA. The tradeshow's frequency is annual, with art miami. The Art Miami Pavilion is the venue where CONTEXT art miami is held. The trade show organizer responsible for organisation and management of CONTEXT art miami is Art Miami LLC. CONTEXT art miami welcomes the following kind of visitors: The public. 2012 is the year of the foundation of CONTEXT art miami. The emphasis of CONTEXT art miami lies on the following business sectors: Art, Antiques.",2018-12-09,-1,25.7742658,-80.1936589,"Miami, USA",CONTEXT art miami,2018-12-04,Tradeshow,12676
7,"The trade show MODA - Juried Ready-to-Wear takes place in New York, USA. The frequency of the trade show is five times a year, with fame and accessoriestheshow. MODA is held at the venue Jacob K. Javits Convention Center. MODA is open to the following types of visitors: Trade visitors. UBM Fashion is the trade show organizer in charge of MODA. On m+a ExpoDataBase MODA is assigned to the business sectors: Apparel, Clothing, Fashion, Ready-to-Wear, Lingerie, Corsetry.",2018-06-12,-1,40.7308619,-73.9871558,"New York, USA",MODA,2018-06-10,Tradeshow,5782
8,"Euro-Global Conference on Food Science, Agronomy and Technology is the forum of Scientists, Academicians, Researchers, Food Industrialists, Food laureates, Entrepreneurs and Students from food science, are coming under one roof to discuss the promising role of modern technologies in Food Science. It will keep participants engaged in learning and making new connections through its discussions, networking events, series of keynote and oral talks, poster presentations and workshops.",2019-09-21,20,51.48238,-0.450463,"Bath Rd, Sipson, Heathrow UB7 0DU, London, UK",Euro-Global Conference on Food Science and Technology,2019-09-19,Conference,1000
9,"The Essential Conference is a can't-miss event for S&P Global Market Intelligence clients and the inaugural user conference for Market Intelligence. It p[rovides the attendees with the opportunity to discover how to get the most out of their product subscription, while hearing about trends and challenges and a core focus will be hands-on experiences so that the attendees can return to their desk with an added boost to their productivity.",2019-05-08,50,25.798993,-80.126862,"2341 Collins Ave, Miami Beach, FL 33139, Miami Beach, USA",Essential Conference,2019-05-06,Conference,5000
