,Unnamed: 0,description,end_date,exhibitors,lat,lng,location,name,start_date,type,visitors,closest_iata
0,206,"International Gifts & Crafts Show Las Vegas offer a wide range of opportunities for both vendors & shoppers. Our Shows have unique merchandise to shop from our variety of vendors as clothing, jewelry, purses, artwork, gifts, health & beauty, scentsy & much more.",2019-05-07,500,36.11288,-115.062394,"5111 Boulder Hwy, Las Vegas, NV 89122, Las Vegas, USA",International Gifts & Crafts Show Las Vegas,2019-05-05,Trade Show,200000,LAS
1,95,"India Eduexpos Mumbai is the most anticipated international platform of education exhibition. The event provides students the opportunity to study overseas and receive international level qualification as well. The students get to interact with top most university delegates gathered under a single roof, mostly from Indian states. This is a must attend event who dream of studying abroad in the top most institutions. This event will provide an opportunity to connect students with quality international schools, representatives from the best institutions around the world and learn about study abroad opportunities, connect with the largest student exchange agencies from your home country etc. in the Education & Training industry.",2018-04-09,50,19.1334321,72.8882172,"Mumbai, India",India Eduexpos Mumbai,2018-04-09,Trade Show,200000,BOM
2,22,"The International Conference of German Society of Nursing Science, organized by the German Society for  Nursing Science will take place from 4th May to 5th May 2018 at the Abba Berlin Hotel in Berlin, Germany. This conference will focus on German Society of Nursing Science.",2018-05-05,-1,52.499609,13.321783,"Lietzenburger Str. 89, 10719 Berlin, Berlin, Germany",International Conference of German Society of Nursing Science,2018-05-04,Conference,123000,BER
3,277,"The International Symposium on Computer Architecture, organized by the ISCA will take place from 2nd June to 6th June 2018 at the Intercontinental Los Angeles Downtown in Los Angeles, United States Of America. The International Symposium on Computer Architecture (ISCA) is the premier forum for new ideas and research results in Computer Architecture.",2018-06-06,50,34.050176,-118.26025,"900 Wilshire Blvd, Los Angeles, CA 90017, Los Angeles, USA",International Symposium on Computer Architecture,2018-06-02,Conference,123000,LAX
4,533,"The International Academic And Research Conference, organized by the Doctors Academy Group will take place on 5th August 2017 at the University of Manchester in Manchester, United Kingdom.The conference will cover areas like Clinical research, laboratory research, clinical audit, service evaluations, clinical and patent related work, literature review and many more.",2018-08-11,50,53.46685,-2.233884,"Oxford Rd Manchester M13 9PL, Manchester, UK",International Academic And Research Conference,2018-08-11,Conference,123000,MAN
5,532,"The Thatcherism Now, organized by the The Guardian will take place from 5th April to 6th April 2018 at the University of Liverpool in Liverpool, United Kingdom. The conference will cover areas like thatcherism after thatcher.",2018-04-06,-1,53.405936,-2.965572,"Liverpool L69 3BX, Liverpool, UK",Thatcherism Now,2018-04-05,Conference,123000,MAN
6,524,"The Automotive Leaders Summit, organized by the Three 6 Zero Limited will take place from 20th June to the 21st June 2018 at the Exhibition Centre Liverpool in Liverpool, United Kingdom. The conference will cover areas like vehicle manufacture, component supply, logistics service providers, packaging, IT, multi-modal transportation, finished vehicle distribution and aftermarket parts and many more.",2018-06-21,-1,53.395505,-2.990283,"Kings Dock, Liverpool L3 4FP, Liverpool, UK",Automotive Leaders Summit,2018-06-20,Conference,123000,MAN
7,523,"The Women in Sport and Exercise Conference, organized by the Staffordshire University will take place from 13th June to 14th June 2018 at the Staffordshire University in Stoke-on-Trent, United Kingdom. The conference will discuss the issues around women's participation in sport and exercise, generating high quality, impactful research into women in sport and exercise.",2018-06-14,-1,53.009066,-2.176138,"College Rd Stoke-on-Trent ST4 2DE, Stoke-on-Trent, UK",Women in Sport and Exercise Conference,2018-06-13,Conference,123000,MAN
8,521,"The BSG Conference, organized by the 18 Week Support will take place from 4th June to 7th June 2018 at the The University of Manchester in Manchester, United Kingdom. This is an educational conference organized for researchers, leaders, marketers, and industries.",2018-06-07,-1,53.46685,-2.233884,"Oxford Rd Manchester M13 9PL, Manchester, UK",BSG Conference,2018-06-04,Conference,123000,MAN
9,28,"The JSConf.EU, organized by the SinnerSchrader Deutschland will take place from 1st June to 2nd June 2019 at the Arena Berlin in Berlin, Germany. This event focuses on topics such as cutting-edge technological advances in the world of JavaScript or computer science in general, if somehow applicable to JavaScript, Wild Ideas & Clever Hacks, Improving JavaScript developers' lives, Mobile JS, Embedded JS, Hardware JS, Fundamentals, in a modern light, etc.",2019-06-02,50,52.496924,13.453982,"Oak Street 4, 12435 Berlin, Berlin, Germany",JSConf EU,2019-06-01,Conference,123000,BER
10,537,"The Transport-Led Development in the North of England, organized by the Waterfront Conference Company Ltd will take place on 05th March 2019 at the DLA Piper Manchester in Manchester, United Kingdom. The conference will cover areas like capitalising on major transport investment to boost economic growth, the role of transport links for economic competitiveness, how improved connectivity will effect northern cities, delivering higher value and higher quality development.",2018-03-06,-1,53.472307,-2.223592,"101 Barbirolli Square, Bridgewater, Manchester M2 3DL, Manchester, UK",Transport Led Development in the North of England,2018-03-06,Conference,123000,MAN
11,869,"The International Conference On Computational Structures Technology, organized by the RELX Group will take place from 4th September to 6th September 2018 at the Melia Sitges in Sitges, Spain. The themes for this conference will include Computational methods applied to all engineering disciplines, Analysis: Methods and techniques, Materials modelling and characterisation, Pre and post processing and Optimisation and design etc.",2018-09-06,-1,41.236681,1.823749,"Calle Joan Salvat Papasseit, 38, 08870 Sitges, Barcelona, Sitges, Spain",International Conference On Computational Structures Technology,2018-09-04,Conference,123000,BCN
12,666,"The Innovations Conference, organized by the League For Innovation In The Community College will take place from 24th February to 27th February 2019 at the New York Marriott Marquis in New York, United States Of America. The conference will cover areas like learning and teaching, leadership and organization, workforce preparation and development.",2019-02-27,50,40.758618,-73.98622,"1535 Broadway, New York, NY 10036, New York, USA",Innovations Conference,2019-02-24,Conference,123000,NYC
13,387,"The British International Studies Association Conference, organized by the British International Studies Association will take place from 16th June to the 19th June 2015 at the The Guoman Tower Hotel in London, UK. The conference will cover areas like Explore The Expansive Terrain Of Contemporary Global Inequalities, Across All Of The Subfields Of The Discipline Under The Conference Theme, We Welcome Submissions Of Proposals.",2019-06-14,-1,51.505948,-0.132354,"6-9 Carlton House Terrace St. Jamess London SW1Y 5AG, London, UK",British International Studies Association Conference,2019-06-12,Conference,123000,LON
14,321,"The Real Estate Investor Forum, organized by the Debtwire will take place on 17th October 2018 at The Waldorf Hilton London in London, United Kingdom. This event brings together the commercial real estate finance community to examine investment opportunities in European situations.",2018-10-17,50,51.512622,-0.118886,"Aldwych London WC2B 4DD, London, UK",Real Estate Investor Forum,2018-10-17,Conference,123000,LON
15,450,"The Future Of the Life And Pensions Market, organized by the Marketforce Business Media Ltd. will take place from 5th June to 6th June 2018 at the Hilton London Tower Bridge in London, United Kingdom. This conference will feature content-rich streams, tackling everything from the advice gap and the evolution of platforms, to product innovation and upcoming regulations.",2018-06-06,-1,51.504625,-0.081436,"5 More London Place, Tooley Street, London SE1 2BY, London, UK",The Future Of the Life And Pensions Market,2018-06-05,Conference,123000,LON
